sku_id,category,subcategory,total_on_hand,total_on_order,reorder_trigger,unit_cost,total_ml_forecast_units,recommended_action,rupee_impact_at_stake,date
P0012,Clothing,Clothing_General,108,105,1130,54.964,285.50649559449334,Reorder Now,50401.988,2024-01-01
P0012,Electronics,Electronics_General,213,175,1130,25.441,410.21627972696547,Reorder Now,18877.221999999998,2024-01-01
P0013,Electronics,Electronics_General,472,160,1151,43.719,406.8731363390578,Reorder Now,22690.161,2024-01-01
P0013,Groceries,Groceries_General,356,28,1151,38.9545,270.7369186641068,Reorder Now,29878.1015,2024-01-01
P0014,Clothing,Clothing_General,342,171,1167,45.7015,137.7161358922358,Reorder Now,29888.781000000003,2024-01-01
P0014,Electronics,Electronics_General,230,190,1167,47.71,135.72868264334096,Reorder Now,35639.37,2024-01-01
P0014,Furniture,Furniture_General,386,169,1167,34.6255,135.94589330901087,Reorder Now,21190.806,2024-01-01
P0014,Groceries,Groceries_General,293,180,1167,18.8565,133.09147837361988,Reorder Now,13086.411,2024-01-01
P0014,Toys,Toys_General,328,43,1167,43.225,140.1662160896624,Reorder Now,34407.1,2024-01-01
P0015,Clothing,Clothing_General,270,109,1166,38.87,146.35194441578767,Reorder Now,30590.69,2024-01-01
P0015,Electronics,Electronics_General,356,60,1166,16.419,138.2339047622745,Reorder Now,12314.25,2024-01-01
P0015,Furniture,Furniture_General,408,92,1166,54.119,130.17224903952086,Reorder Now,36043.254,2024-01-01
P0015,Toys,Toys_General,433,190,1166,43.901,277.3151111974082,Reorder Now,23838.243000000002,2024-01-01
P0016,Clothing,Clothing_General,314,148,1169,12.428,142.65812689645117,Reorder Now,8786.596000000001,2024-01-01
P0016,Electronics,Electronics_General,74,189,1169,26.3965,133.931680096018,Reorder Now,23915.229,2024-01-01
P0016,Furniture,Furniture_General,166,56,1169,35.8605,270.86978188425735,Reorder Now,33959.8935,2024-01-01
P0016,Toys,Toys_General,258,197,1169,26.845,144.48181000105492,Reorder Now,19167.329999999998,2024-01-01
P0017,Clothing,Clothing_General,239,26,1151,43.784,133.3771228060081,Reorder Now,38792.623999999996,2024-01-01
P0017,Electronics,Electronics_General,100,99,1151,13.3965,144.50028408078927,Reorder Now,12753.467999999999,2024-01-01
P0017,Toys,Toys_General,282,61,1151,13.442,414.35456380415405,Reorder Now,10861.136,2024-01-01
P0018,Clothing,Clothing_General,278,151,1132,7.2215,153.12231252882194,Reorder Now,5076.7145,2024-01-01
P0018,Electronics,Electronics_General,191,95,1132,15.665,274.20394724689754,Reorder Now,13252.59,2024-01-01
P0018,Groceries,Groceries_General,151,147,1132,21.346,148.54727552266473,Reorder Now,17802.564,2024-01-01
P0018,Toys,Toys_General,83,70,1132,53.9305,134.35000373316856,Reorder Now,52797.959500000004,2024-01-01
P0019,Clothing,Clothing_General,149,85,1145,53.1115,277.99260703780214,Reorder Now,48384.5765,2024-01-01
P0019,Electronics,Electronics_General,253,121,1145,40.3,134.71479365868734,Reorder Now,31071.3,2024-01-01
P0019,Furniture,Furniture_General,409,49,1145,35.2755,134.26723376676577,Reorder Now,24234.268500000002,2024-01-01
P0019,Toys,Toys_General,374,21,1145,34.541,135.98455878578255,Reorder Now,25905.749999999996,2024-01-01
P0020,Electronics,Electronics_General,242,198,1167,7.15,129.37773831892193,Reorder Now,5198.05,2024-01-01
P0020,Groceries,Groceries_General,284,172,1167,49.361,418.26081479235046,Reorder Now,35095.670999999995,2024-01-01
P0020,Toys,Toys_General,249,115,1167,21.3655,138.28755380865468,Reorder Now,17156.4965,2024-01-01
