date,sku_id,store_id,region,units_sold,revenue,unit_price,discount,category,subcategory,launch_date,unit_cost,week,month,season,promotion_events,on_hand,on_order,lead_time,reorder_point,weather_condition,competitor_pricing,demand_forecast
01-01-2022,P0007,S002,West,393,34023.3855,91.13,5,Groceries,Groceries_General,01-01-2022,59.2345,52,1,Winter,0,460,70,7,1148,Sunny,93.33,401.48
01-01-2022,P0008,S002,West,29,1553.472,66.96,20,Electronics,Electronics_General,01-01-2022,43.524,52,1,Winter,0,304,99,7,1123,Snowy,65.36,35.54
01-01-2022,P0009,S002,South,9,695.0295,81.29,5,Clothing,Clothing_General,01-01-2022,52.8385,52,1,Winter,1,113,84,7,1154,Rainy,82.06,14.78
01-01-2022,P0010,S002,North,126,7665.84,60.84,0,Electronics,Electronics_General,01-01-2022,39.546,52,1,Winter,1,157,181,7,1141,Snowy,65.22,132.75
01-01-2022,P0011,S002,West,13,450.06,34.62,0,Groceries,Groceries_General,01-01-2022,22.503,52,1,Winter,1,67,33,7,1148,Snowy,33.98,7.44
01-01-2022,P0012,S002,East,25,464.55,19.56,5,Groceries,Groceries_General,01-01-2022,12.714,52,1,Winter,1,281,136,7,1130,Rainy,19.01,37.27
01-01-2022,P0013,S002,East,283,13081.392,57.78,20,Clothing,Clothing_General,01-01-2022,37.557,52,1,Winter,0,389,177,7,1151,Cloudy,58.5,299.7
01-01-2022,P0014,S002,East,359,26215.616,91.28,20,Electronics,Electronics_General,01-01-2022,59.332,52,1,Winter,0,465,77,7,1167,Cloudy,90.85,370.36
01-01-2022,P0015,S002,South,129,6568.035,59.9,15,Toys,Toys_General,01-01-2022,38.935,52,1,Winter,1,197,94,7,1166,Sunny,55.23,148.55
01-01-2022,P0016,S002,South,63,2300.76,45.65,20,Toys,Toys_General,01-01-2022,29.6725,52,1,Winter,1,242,85,7,1169,Rainy,42.17,58.07
01-01-2022,P0017,S002,West,373,3494.264,11.71,20,Groceries,Groceries_General,01-01-2022,7.6115,52,1,Winter,1,398,92,7,1151,Cloudy,10,390.89
01-01-2022,P0018,S002,North,160,8943.68,58.84,5,Groceries,Groceries_General,01-01-2022,38.246,52,1,Winter,0,234,140,7,1132,Cloudy,54.39,177.41
01-01-2022,P0019,S002,East,15,1211.1075,84.99,5,Toys,Toys_General,01-01-2022,55.2435,52,1,Winter,1,67,186,7,1145,Sunny,81.02,34.38
01-01-2022,P0020,S002,West,101,8797.1,87.1,0,Toys,Toys_General,01-01-2022,56.615,52,1,Winter,1,221,38,7,1167,Rainy,91.56,115
01-01-2022,P0001,S003,South,147,9385.8765,67.21,5,Toys,Toys_General,01-01-2022,43.6865,52,1,Winter,1,241,180,7,1145,Sunny,67.39,161.09
01-01-2022,P0002,S003,West,4,101.52,28.2,10,Electronics,Electronics_General,01-01-2022,18.33,52,1,Winter,1,115,169,7,1122,Sunny,25.63,11.11
01-01-2022,P0003,S003,South,77,3891.888,56.16,10,Groceries,Groceries_General,01-01-2022,36.504,52,1,Winter,1,375,145,7,1134,Sunny,57.16,75.04
01-01-2022,P0004,S003,South,31,2220.344,89.53,20,Toys,Toys_General,01-01-2022,58.1945,52,1,Winter,1,153,145,7,1139,Rainy,93.6,42.99
01-01-2022,P0005,S003,West,325,25467,97.95,20,Clothing,Clothing_General,01-01-2022,63.6675,52,1,Winter,0,438,20,7,1158,Sunny,93.54,330.92
01-01-2022,P0006,S003,North,163,11825.8945,76.37,5,Groceries,Groceries_General,01-01-2022,49.6405,52,1,Winter,1,456,22,7,1143,Rainy,71.38,159.17
01-01-2022,P0007,S003,North,34,2514.011,86.99,15,Electronics,Electronics_General,01-01-2022,56.5435,52,1,Winter,1,189,107,7,1148,Rainy,90.5,26.91
01-01-2022,P0008,S003,North,47,2657.8735,66.53,15,Toys,Toys_General,01-01-2022,43.2445,52,1,Winter,1,223,107,7,1123,Cloudy,70.46,45.48
01-01-2022,P0009,S003,South,15,954.465,74.86,15,Groceries,Groceries_General,01-01-2022,48.659,52,1,Winter,1,381,184,7,1154,Snowy,73.93,30.05
01-01-2022,P0010,S003,South,126,11621.673,97.09,5,Groceries,Groceries_General,01-01-2022,63.1085,52,1,Winter,1,166,124,7,1141,Rainy,95.8,141.34
01-01-2022,P0011,S003,East,232,13036.08,56.19,0,Toys,Toys_General,01-01-2022,36.5235,52,1,Winter,1,292,155,7,1148,Snowy,57.85,242.02
01-01-2022,P0012,S003,North,175,12653.2,90.38,20,Electronics,Electronics_General,01-01-2022,58.747,52,1,Winter,0,311,55,7,1130,Cloudy,89.52,176.75
01-01-2022,P0013,S003,North,17,1006.128,73.98,20,Furniture,Furniture_General,01-01-2022,48.087,52,1,Winter,1,51,172,7,1151,Cloudy,76.65,12.86
01-01-2022,P0014,S003,South,369,27703.9665,79.03,5,Electronics,Electronics_General,01-01-2022,51.3695,52,1,Winter,0,398,26,7,1167,Rainy,82.51,387.88
01-01-2022,P0015,S003,West,260,6846.84,27.72,5,Clothing,Clothing_General,01-01-2022,18.018,52,1,Winter,0,445,24,7,1166,Snowy,23.28,266.36
01-01-2022,P0016,S003,South,347,28958.191,98.18,15,Groceries,Groceries_General,01-01-2022,63.817,52,1,Winter,0,487,93,7,1169,Rainy,99.58,349.36
01-01-2022,P0017,S003,East,150,3861.75,27.1,5,Clothing,Clothing_General,01-01-2022,17.615,52,1,Winter,1,429,168,7,1151,Cloudy,27.4,157.82
01-01-2022,P0018,S003,West,70,5776.26,97.08,15,Toys,Toys_General,01-01-2022,63.102,52,1,Winter,1,204,170,7,1132,Snowy,94.88,83.01
01-01-2022,P0019,S003,East,249,5653.1715,26.71,15,Clothing,Clothing_General,01-01-2022,17.3615,52,1,Winter,1,330,37,7,1145,Cloudy,24.81,268.25
01-01-2022,P0020,S003,North,370,28371.6,95.85,20,Electronics,Electronics_General,01-01-2022,62.3025,52,1,Winter,1,431,99,7,1167,Cloudy,95.7,387.57
01-01-2022,P0001,S004,South,271,3598.067,15.62,15,Toys,Toys_General,01-01-2022,10.153,52,1,Winter,0,477,66,7,1145,Sunny,16.09,286.65
01-01-2022,P0002,S004,North,180,7033.23,41.13,5,Clothing,Clothing_General,01-01-2022,26.7345,52,1,Winter,0,462,183,7,1122,Sunny,45.05,176.06
01-01-2022,P0003,S004,West,344,24580.864,89.32,20,Clothing,Clothing_General,01-01-2022,58.058,52,1,Winter,0,446,27,7,1134,Cloudy,93,352.93
01-01-2022,P0004,S004,West,0,0,87.23,10,Groceries,Groceries_General,01-01-2022,56.6995,52,1,Winter,0,437,160,7,1139,Sunny,90.36,0
01-01-2022,P0005,S004,North,200,16344,81.72,0,Groceries,Groceries_General,01-01-2022,53.118,52,1,Winter,1,397,172,7,1158,Snowy,85.22,196.57
01-01-2022,P0006,S004,East,382,14216.13,41.35,10,Electronics,Electronics_General,01-01-2022,26.8775,52,1,Winter,0,470,195,7,1143,Snowy,39.86,396.4
01-01-2022,P0007,S004,West,190,10223.52,67.26,20,Electronics,Electronics_General,01-01-2022,43.719,52,1,Winter,0,264,139,7,1148,Cloudy,64.78,197.45
01-01-2022,P0008,S004,South,51,3503.904,85.88,20,Furniture,Furniture_General,01-01-2022,55.822,52,1,Winter,1,250,137,7,1123,Snowy,86.14,54.98
01-01-2022,P0009,S004,North,40,2132.28,59.23,10,Furniture,Furniture_General,01-01-2022,38.4995,52,1,Winter,1,63,73,7,1154,Rainy,61.1,51.78
01-01-2022,P0010,S004,East,104,2959.632,33.48,15,Groceries,Groceries_General,01-01-2022,21.762,52,1,Winter,0,447,96,7,1141,Cloudy,37.15,115.03
01-01-2022,P0011,S004,West,46,2522.64,54.84,0,Electronics,Electronics_General,01-01-2022,35.646,52,1,Winter,1,205,27,7,1148,Sunny,57.76,46.65
01-01-2022,P0012,S004,North,9,121.8375,14.25,5,Electronics,Electronics_General,01-01-2022,9.2625,52,1,Winter,1,349,165,7,1130,Rainy,18.56,0.95
01-01-2022,P0013,S004,East,56,3461.36,61.81,0,Furniture,Furniture_General,01-01-2022,40.1765,52,1,Winter,0,191,65,7,1151,Sunny,63.92,54.47
01-01-2022,P0014,S004,West,63,3795.498,66.94,10,Electronics,Electronics_General,01-01-2022,43.511,52,1,Winter,1,406,139,7,1167,Snowy,68.47,69.73
01-01-2022,P0015,S004,South,181,10409.853,60.54,5,Clothing,Clothing_General,01-01-2022,39.351,52,1,Winter,0,228,127,7,1166,Cloudy,65.27,171.96
01-01-2022,P0016,S004,South,94,7531.374,94.26,15,Groceries,Groceries_General,01-01-2022,61.269,52,1,Winter,0,263,24,7,1169,Rainy,96.74,98.05
01-01-2022,P0017,S004,South,46,1175.3,25.55,0,Electronics,Electronics_General,01-01-2022,16.6075,52,1,Winter,0,203,75,7,1151,Rainy,28.07,55.12
01-01-2022,P0018,S004,West,8,127.148,16.73,5,Groceries,Groceries_General,01-01-2022,10.8745,52,1,Winter,1,143,27,7,1132,Cloudy,18.79,27.3
01-01-2022,P0019,S004,West,172,10409.44,71.2,15,Groceries,Groceries_General,01-01-2022,46.28,52,1,Winter,1,359,125,7,1145,Rainy,73.85,181.25
01-01-2022,P0020,S004,West,68,625.6,11.5,20,Clothing,Clothing_General,01-01-2022,7.475,52,1,Winter,0,211,37,7,1167,Snowy,9.26,86.27
01-01-2022,P0001,S005,West,77,4873.869,70.33,10,Toys,Toys_General,01-01-2022,45.7145,52,1,Winter,0,111,60,7,1145,Cloudy,70.29,83.47
01-01-2022,P0002,S005,West,298,16179.165,57.15,5,Clothing,Clothing_General,01-01-2022,37.1475,52,1,Winter,1,415,107,7,1122,Snowy,60.71,292.96
01-01-2022,P0003,S005,North,64,2199.136,36.17,5,Electronics,Electronics_General,01-01-2022,23.5105,52,1,Winter,0,384,26,7,1134,Sunny,40.93,76.02
01-01-2022,P0004,S005,West,300,12946.35,50.77,15,Furniture,Furniture_General,01-01-2022,33.0005,52,1,Winter,1,436,174,7,1139,Snowy,54.7,292.04
01-01-2022,P0005,S005,West,21,1657.551,92.86,15,Clothing,Clothing_General,01-01-2022,60.359,52,1,Winter,1,180,47,7,1158,Rainy,96.3,38.63
01-01-2022,P0006,S005,North,176,8555.008,60.76,20,Groceries,Groceries_General,01-01-2022,39.494,52,1,Winter,0,185,163,7,1143,Cloudy,61.15,174.06
01-01-2022,P0007,S005,South,131,5174.4345,46.47,15,Clothing,Clothing_General,01-01-2022,30.2055,52,1,Winter,0,292,140,7,1148,Snowy,50.84,122.6
01-01-2022,P0008,S005,West,317,10263.192,34.08,5,Toys,Toys_General,01-01-2022,22.152,52,1,Winter,1,478,197,7,1123,Snowy,30.44,328.64
01-01-2022,P0009,S005,West,97,8091.6915,87.81,5,Groceries,Groceries_General,01-01-2022,57.0765,52,1,Winter,0,182,27,7,1154,Snowy,85.45,92.62
01-01-2022,P0010,S005,East,8,266.688,37.04,10,Clothing,Clothing_General,01-01-2022,24.076,52,1,Winter,1,87,141,7,1141,Rainy,36.87,14.38
01-01-2022,P0011,S005,West,104,5065.632,54.12,10,Groceries,Groceries_General,01-01-2022,35.178,52,1,Winter,1,427,128,7,1148,Rainy,53.03,94.65
01-01-2022,P0012,S005,West,87,5001.978,67.64,15,Electronics,Electronics_General,01-01-2022,43.966,52,1,Winter,0,245,188,7,1130,Sunny,63.53,90.59
01-01-2022,P0013,S005,South,238,18580.898,82.18,5,Furniture,Furniture_General,01-01-2022,53.417,52,1,Winter,0,317,95,7,1151,Cloudy,87.09,256.57
01-01-2022,P0014,S005,South,171,5830.416,42.62,20,Electronics,Electronics_General,01-01-2022,27.703,52,1,Winter,1,325,43,7,1167,Cloudy,42.01,188.55
01-01-2022,P0015,S005,West,250,2596.5,11.54,10,Furniture,Furniture_General,01-01-2022,7.501,52,1,Winter,0,411,119,7,1166,Cloudy,11.27,260.79
01-01-2022,P0016,S005,South,11,170.335,16.3,5,Clothing,Clothing_General,01-01-2022,10.595,52,1,Winter,0,71,32,7,1169,Sunny,17.98,1.85
01-01-2022,P0017,S005,East,371,31002.0585,98.31,15,Electronics,Electronics_General,01-01-2022,63.9015,52,1,Winter,1,388,98,7,1151,Sunny,102.42,390.04
01-01-2022,P0018,S005,West,107,4714.848,48.96,10,Furniture,Furniture_General,01-01-2022,31.824,52,1,Winter,1,161,66,7,1132,Snowy,50.03,103.97
01-01-2022,P0019,S005,South,106,8883.754,88.22,5,Groceries,Groceries_General,01-01-2022,57.343,52,1,Winter,0,235,124,7,1145,Rainy,91.16,119.33
01-01-2022,P0020,S005,South,101,1003.536,11.04,10,Electronics,Electronics_General,01-01-2022,7.176,52,1,Winter,1,108,52,7,1167,Snowy,9.14,105.92
02-01-2022,P0001,S001,West,81,2037.555,27.95,10,Groceries,Groceries_General,01-01-2022,18.1675,52,1,Winter,0,116,104,7,1145,Cloudy,30.89,92.94
02-01-2022,P0002,S001,West,163,2740.519,19.78,15,Clothing,Clothing_General,01-01-2022,12.857,52,1,Winter,0,416,79,7,1122,Cloudy,18.76,171.6
02-01-2022,P0003,S001,South,464,29645.424,70.99,10,Clothing,Clothing_General,01-01-2022,46.1435,52,1,Winter,0,488,163,7,1134,Snowy,72.93,463.12
02-01-2022,P0004,S001,East,116,5461.512,49.56,5,Groceries,Groceries_General,01-01-2022,32.214,52,1,Winter,0,248,107,7,1139,Snowy,50.46,133.92
02-01-2022,P0005,S001,East,200,4039.2,23.76,15,Electronics,Electronics_General,01-01-2022,15.444,52,1,Winter,1,238,40,7,1158,Sunny,19.19,204.3
02-01-2022,P0006,S001,East,58,2758.48,47.56,0,Furniture,Furniture_General,01-01-2022,30.914,52,1,Winter,1,471,32,7,1143,Snowy,46.82,51.57
02-01-2022,P0007,S001,North,56,909.72,17.1,5,Electronics,Electronics_General,01-01-2022,11.115,52,1,Winter,1,178,149,7,1148,Snowy,17,60.3
02-01-2022,P0008,S001,East,74,4139.967,58.89,5,Clothing,Clothing_General,01-01-2022,38.2785,52,1,Winter,0,92,121,7,1123,Cloudy,61.56,67.04
02-01-2022,P0009,S001,South,54,4309.632,99.76,20,Toys,Toys_General,01-01-2022,64.844,52,1,Winter,0,99,182,7,1154,Cloudy,95.61,70.6
02-01-2022,P0010,S001,North,39,423.852,11.44,5,Clothing,Clothing_General,01-01-2022,7.436,52,1,Winter,0,171,163,7,1141,Sunny,12.71,47.8
02-01-2022,P0011,S001,East,12,646.08,53.84,0,Furniture,Furniture_General,01-01-2022,34.996,52,1,Winter,1,215,173,7,1148,Cloudy,53.79,16.92
02-01-2022,P0012,S001,East,56,3077.088,57.84,5,Furniture,Furniture_General,01-01-2022,37.596,52,1,Winter,1,281,187,7,1130,Snowy,60.99,70.71
02-01-2022,P0013,S001,North,31,935.6885,35.51,15,Toys,Toys_General,01-01-2022,23.0815,52,1,Winter,1,455,124,7,1151,Cloudy,31.06,44.46
02-01-2022,P0014,S001,West,25,785.25,31.41,0,Electronics,Electronics_General,01-01-2022,20.4165,52,1,Winter,1,84,20,7,1167,Cloudy,28.6,23.36
02-01-2022,P0015,S001,East,198,4444.704,28.06,20,Electronics,Electronics_General,01-01-2022,18.239,52,1,Winter,1,246,67,7,1166,Cloudy,30.29,203.23
02-01-2022,P0016,S001,West,77,2334.6015,35.67,15,Electronics,Electronics_General,01-01-2022,23.1855,52,1,Winter,0,399,147,7,1169,Snowy,38.02,67.55
02-01-2022,P0017,S001,West,165,4417.215,28.18,5,Furniture,Furniture_General,01-01-2022,18.317,52,1,Winter,0,242,105,7,1151,Cloudy,27.5,181.86
02-01-2022,P0018,S001,North,42,2969.358,74.42,5,Toys,Toys_General,01-01-2022,48.373,52,1,Winter,0,478,168,7,1132,Snowy,69.67,55.16
02-01-2022,P0019,S001,South,8,698.82,91.95,5,Furniture,Furniture_General,01-01-2022,59.7675,52,1,Winter,1,156,67,7,1145,Cloudy,87.43,24.41
02-01-2022,P0020,S001,North,174,17031.12,97.88,0,Electronics,Electronics_General,01-01-2022,63.622,52,1,Winter,0,221,168,7,1167,Snowy,99.5,187.49
02-01-2022,P0001,S002,West,343,18266.808,66.57,20,Electronics,Electronics_General,01-01-2022,43.2705,52,1,Winter,1,402,141,7,1145,Rainy,63.92,339.04
02-01-2022,P0002,S002,West,71,6094.782,90.36,5,Furniture,Furniture_General,01-01-2022,58.734,52,1,Winter,0,132,60,7,1122,Rainy,86.73,82.44
02-01-2022,P0003,S002,West,157,13757.596,92.24,5,Groceries,Groceries_General,01-01-2022,59.956,52,1,Winter,1,218,31,7,1134,Snowy,89.57,153.42
02-01-2022,P0004,S002,South,88,6046.48,68.71,0,Groceries,Groceries_General,01-01-2022,44.6615,52,1,Winter,0,131,109,7,1139,Snowy,69.34,100.61
02-01-2022,P0005,S002,North,64,5302.976,87.22,5,Groceries,Groceries_General,01-01-2022,56.693,52,1,Winter,1,93,128,7,1158,Cloudy,90.59,57.53
02-01-2022,P0006,S002,East,273,21670.74,79.38,0,Groceries,Groceries_General,01-01-2022,51.597,52,1,Winter,0,344,154,7,1143,Rainy,77.28,273.1
02-01-2022,P0007,S002,North,247,3655.2295,17.41,15,Groceries,Groceries_General,01-01-2022,11.3165,52,1,Winter,0,340,148,7,1148,Snowy,13.57,264.18
02-01-2022,P0008,S002,North,42,528.36,14.8,15,Electronics,Electronics_General,01-01-2022,9.62,52,1,Winter,1,241,187,7,1123,Sunny,13.94,46.32
02-01-2022,P0009,S002,North,197,6008.5,30.5,0,Electronics,Electronics_General,01-01-2022,19.825,52,1,Winter,0,296,157,7,1154,Sunny,28.86,195.61
02-01-2022,P0010,S002,West,374,8850.336,27.84,15,Groceries,Groceries_General,01-01-2022,18.096,52,1,Winter,1,472,65,7,1141,Cloudy,32,387.41
02-01-2022,P0011,S002,East,154,13647.48,88.62,0,Furniture,Furniture_General,01-01-2022,57.603,52,1,Winter,0,308,22,7,1148,Cloudy,86.3,169.13
02-01-2022,P0012,S002,North,236,15547.68,82.35,20,Toys,Toys_General,01-01-2022,53.5275,52,1,Winter,0,434,30,7,1130,Rainy,83.13,239.09
02-01-2022,P0013,S002,North,278,23161.014,92.57,10,Toys,Toys_General,01-01-2022,60.1705,52,1,Winter,1,287,92,7,1151,Sunny,97.09,279.91
02-01-2022,P0014,S002,West,27,2420.847,94.38,5,Furniture,Furniture_General,01-01-2022,61.347,52,1,Winter,0,190,134,7,1167,Rainy,89.47,31.53
02-01-2022,P0015,S002,North,106,7482.54,70.59,0,Toys,Toys_General,01-01-2022,45.8835,52,1,Winter,1,353,191,7,1166,Cloudy,75.27,110.49
02-01-2022,P0016,S002,West,154,8749.818,63.13,10,Toys,Toys_General,01-01-2022,41.0345,52,1,Winter,0,210,70,7,1169,Sunny,67.23,166.83
02-01-2022,P0017,S002,West,176,7697.888,46.04,5,Clothing,Clothing_General,01-01-2022,29.926,52,1,Winter,1,193,38,7,1151,Rainy,41.4,174.49
02-01-2022,P0018,S002,East,124,2351.412,21.07,10,Groceries,Groceries_General,01-01-2022,13.6955,52,1,Winter,0,124,46,7,1132,Sunny,21.71,116.05
02-01-2022,P0019,S002,East,479,37893.69,79.11,0,Toys,Toys_General,01-01-2022,51.4215,52,1,Winter,0,492,132,7,1145,Cloudy,80.06,469.74
02-01-2022,P0020,S002,South,78,5069.22,64.99,0,Clothing,Clothing_General,01-01-2022,42.2435,52,1,Winter,1,222,42,7,1167,Sunny,65.4,76.55
02-01-2022,P0001,S003,West,114,7539.048,73.48,10,Toys,Toys_General,01-01-2022,47.762,52,1,Winter,0,277,40,7,1145,Cloudy,72.55,132.41
02-01-2022,P0002,S003,East,2,175,87.5,0,Groceries,Groceries_General,01-01-2022,56.875,52,1,Winter,0,175,140,7,1122,Rainy,91.2,0
02-01-2022,P0003,S003,East,7,496.608,88.68,20,Toys,Toys_General,01-01-2022,57.642,52,1,Winter,1,157,187,7,1134,Cloudy,87.38,22.8
02-01-2022,P0004,S003,West,54,3557.952,82.36,20,Furniture,Furniture_General,01-01-2022,53.534,52,1,Winter,0,120,154,7,1139,Snowy,85.85,49.64
02-01-2022,P0005,S003,East,282,10330.224,38.56,5,Furniture,Furniture_General,01-01-2022,25.064,52,1,Winter,0,375,61,7,1158,Cloudy,36.57,297.42
02-01-2022,P0006,S003,East,93,9089.82,97.74,0,Groceries,Groceries_General,01-01-2022,63.531,52,1,Winter,0,302,33,7,1143,Cloudy,97.69,106.58
02-01-2022,P0007,S003,West,85,2722.38,37.68,15,Electronics,Electronics_General,01-01-2022,24.492,52,1,Winter,0,375,40,7,1148,Cloudy,36.72,85.31
02-01-2022,P0008,S003,South,136,4655.076,36.03,5,Clothing,Clothing_General,01-01-2022,23.4195,52,1,Winter,0,248,50,7,1123,Rainy,37.49,130.52
02-01-2022,P0009,S003,West,140,12455.8,88.97,0,Electronics,Electronics_General,01-01-2022,57.8305,52,1,Winter,1,219,196,7,1154,Snowy,91.53,139.46
02-01-2022,P0010,S003,West,79,1171.728,16.48,10,Furniture,Furniture_General,01-01-2022,10.712,52,1,Winter,1,146,155,7,1141,Cloudy,21.42,94.23
02-01-2022,P0011,S003,South,106,5568.498,58.37,10,Furniture,Furniture_General,01-01-2022,37.9405,52,1,Winter,1,218,111,7,1148,Cloudy,58.1,117.65
02-01-2022,P0012,S003,West,1,26.467,27.86,5,Groceries,Groceries_General,01-01-2022,18.109,52,1,Winter,1,260,142,7,1130,Snowy,31.78,1.99
02-01-2022,P0013,S003,West,203,7548.149,39.14,5,Electronics,Electronics_General,01-01-2022,25.441,52,1,Winter,1,414,53,7,1151,Rainy,35.3,206.35
02-01-2022,P0014,S003,North,368,24475.68,66.51,0,Toys,Toys_General,01-01-2022,43.2315,52,1,Winter,0,420,71,7,1167,Cloudy,70.84,384.47
02-01-2022,P0015,S003,East,286,20511.92,89.65,20,Electronics,Electronics_General,01-01-2022,58.2725,52,1,Winter,0,435,159,7,1166,Snowy,84.99,283.25
02-01-2022,P0016,S003,South,69,4785.84,86.7,20,Clothing,Clothing_General,01-01-2022,56.355,52,1,Winter,0,230,173,7,1169,Rainy,91.05,70.77
02-01-2022,P0017,S003,South,52,1235.104,29.69,20,Toys,Toys_General,01-01-2022,19.2985,52,1,Winter,0,456,78,7,1151,Snowy,25.27,65.67
02-01-2022,P0018,S003,East,109,8527.833,86.93,10,Toys,Toys_General,01-01-2022,56.5045,52,1,Winter,1,319,83,7,1132,Rainy,82.59,126.67
02-01-2022,P0019,S003,North,50,2669.85,59.33,10,Furniture,Furniture_General,01-01-2022,38.5645,52,1,Winter,0,59,135,7,1145,Cloudy,54.98,44.37
02-01-2022,P0020,S003,East,0,0,57.07,10,Electronics,Electronics_General,01-01-2022,37.0955,52,1,Winter,1,155,92,7,1167,Rainy,53.34,9.42
02-01-2022,P0001,S004,North,22,1386.792,74.16,15,Electronics,Electronics_General,01-01-2022,48.204,52,1,Winter,0,144,45,7,1145,Rainy,69.74,39.12
02-01-2022,P0002,S004,East,45,2672.1,59.38,0,Electronics,Electronics_General,01-01-2022,38.597,52,1,Winter,1,283,156,7,1122,Sunny,62.4,46.65
02-01-2022,P0003,S004,East,89,4288.02,48.18,0,Clothing,Clothing_General,01-01-2022,31.317,52,1,Winter,1,347,122,7,1134,Sunny,49.64,87.77
